"Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Old.Ref.ID","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","Censusboundaries","Airports","Aonb","Aroads","Broads","Hcoast","Localunitaryauthority","Minroads","Motorways","Nationalparks","Nnr","Powerlines","Primaryroads","Railway","Ramsar","Sacs","Spa","Sssi","Ukelevation","Urbanregions","Windspeed45","Code","Type","Council_size","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_share","Age_Total","Age_Mean","Age_Median","Qual_Total","Qual_Level4","Qual_PercentL4","SocialGradeTotal","SocialGradePercentAB","Tenure_Total","Tenure_Owned","PercentOwner","Planning_Status_Code"
"L_0001",258200,650100,"Over Enoch Farm",5,1.3,6.5,"Refused/Abandoned","N00187W","06/12/2012","Strathclyde","Scotland","Scotland","08/05/2003",NA,NA,"Large",2003,"S01001670",17.87,37.65,5.72,1.95,139.67,"S12000011",0.01,6.92,35.33,13.8,2.05,3.26,4.37,21.45,9.31,14.2,6.84,169,1.44,6.5,8013,12,20,7,8,3,2,0,"NOC",11,35,40,15,10,0,639,40,42,492,180,37,371,33.2,250,225,90,0
"L_0002",258500,649500,"Ardoch Farm (East Renfrewshire)",3,1.3,3.9,"Refused/Abandoned","N00188W","02/12/2011","Strathclyde","Scotland","Scotland","15/01/2003",NA,NA,"Large",2003,"S01001670",18.53,38.32,6.18,2.62,139.01,"S12000011",0.42,7.5,36,13.63,2.49,3.89,4.88,22.12,9.08,13.56,7.46,193,2.11,6.9,8013,12,20,7,8,3,2,0,"NOC",11,35,40,15,10,0,639,40,42,492,180,37,371,33.2,250,225,90,0
"L_0003",444854,306031,"Stonehaven Wind Turbine",1,1.5,1.5,"Refused/Abandoned","B1271","26/02/2016","Leicestershire","East Midlands","England","14/04/2014",NA,NA,"Large",2014,"E01025875",20.18,38.79,3.02,0.15,130.28,"E07000132",0.57,4.51,50.11,8.72,0.49,5.97,1.85,42.76,10.72,42.76,3.86,146,1.63,6.7,2404,1,34,14,1,19,0,NA,"LD",18,41.1764705882353,2.94117647058824,55.8823529411765,0,NA,1518,41.7,42,1232,192,16,444,12.6,658,404,61,0
"L_0004",456000,524000,"Tees Wind North",18,2.5,45,"Refused/Abandoned","N00073W","29/06/2011","Cleveland","North East","England","16/12/2001",NA,NA,"Large",2001,"E01012107",22.11,40.82,1.35,4.4,11,"E06000003",0.57,24.4,9.09,2.78,0.77,3.05,0.53,2.24,11.38,2.25,1.89,5,0.77,6.7,722,11,59,14,31,11,3,NA,"Lab",30,23.728813559322,52.5423728813559,18.6440677966102,5.08474576271187,NA,1404,42.2,43,1145,94,8,415,5.8,666,279,42,0
"L_0005",358734,392095,"Causeway Bridges Wind Farm",2,2,4,"Refused/Abandoned","EN00557","03/07/2014","Cheshire","North West","England","28/04/2008",NA,NA,"Large",2008,"E01012469",18.26,45.84,0.95,3.25,135.26,"E06000007",0.29,0.5,37.18,16.72,0.27,1.79,0.72,11.72,7.6,11.72,4.15,12,0.8,6,628,11,57,7,22,28,0,NA,"NOC",29,12.280701754386,38.5964912280702,49.1228070175439,0,NA,1546,41.9,42,1291,271,21,467,16.7,624,513,82,0
"L_0006",132947,913350,"Eishken (Muaitheabhal) Wind Farm (East Extension)",6,3.6,21.6,"Refused/Abandoned","AA564","16/12/2014","Western Isles","Scotland","Scotland","05/08/2009",NA,NA,"Large",2009,"S01002350",23.68,6.44,8.16,4.3,368.35,"S12000013",0.3,258.47,167.54,69.06,8.33,49.65,92.99,8.78,10.97,8.77,13.28,55,1.32,7,8032,12,31,0,2,0,25,4,"Ind",16,0,6.45161290322581,0,80.6451612903226,12.9032258064516,918,45.2,48,761,215,28,548,14.4,433,359,83,0
"L_0007",377538,339757,"Maer Hills Wind Farm",4,2,8,"Refused/Abandoned","EN00592","13/09/2011","Staffordshire","West Midlands","England","12/06/2008",NA,NA,"Large",2008,"E01029570",21.43,26.06,0.94,4.23,177.06,"E07000195",0.79,4.82,28.63,12.82,3.86,0.77,2,8.27,12.73,31.66,1.59,188,1,6.7,3404,1,60,25,12,19,4,NA,"NOC",31,41.6666666666667,20,31.6666666666667,6.66666666666667,NA,2468,46.6,50,2073,784,38,641,40.2,1035,882,85,0
"L_0008",632000,261000,"Parham Airfield (wind)",6,2.3,13.8,"Refused/Abandoned","N00374W","01/07/2011","Suffolk","Eastern","England","01/03/2005",NA,NA,"Large",2005,"E01030176",7.64,7.09,5.15,1.6,7.93,"E07000205",0.48,83.28,28.36,15.47,2.26,2.76,4.35,8.2,8.2,6.51,2.8,41,0.95,6.3,3506,1,55,42,2,11,0,NA,"Con",28,76.3636363636364,3.63636363636364,20,0,NA,1977,45.8,49,1647,614,37,558,34.6,852,588,69,0
"L_0010",362249,1021849,"Bu Wind Farm Repowering",3,0.85,2.6,"Refused/Abandoned","IF1119","25/11/2013","Orkney Islands","Scotland","Scotland","06/11/2012",NA,NA,"Large",2012,"S01004969",8.19,29.66,18.33,1.45,366.13,"S12000023",3.8,303.72,193.61,88.25,73.43,73.24,69.56,16.14,16.14,6.83,5.3,32,1.25,8.8,8030,12,21,0,0,0,21,0,"Ind",11,0,0,0,100,0,919,46.3,51,754,201,27,499,16,425,333,78,0
"L_0011",444250,84250,"Cheverton Down",2,0.6,1.2,"Refused/Abandoned","N00133W","05/12/2008","Isle of Wight","South East","England","31/05/2001",NA,NA,"Large",2001,"E01017297",14.03,0,2.91,1.57,2.39,"E06000046",1.62,25.82,12.63,6,8.07,24.25,11.74,6,2.2,6,1.72,168,1.54,8.1,2121,11,48,12,5,19,12,NA,"NOC",25,25,10.4166666666667,39.5833333333333,25,NA,1437,44.8,47,1190,342,29,388,22.9,606,473,78,0
"L_0012",496525,425211,"Melton Waste Park",2,2.5,5,"Refused/Abandoned","C1436","29/04/2016","Humberside","Yorkshire and Humber","England","14/06/2013",NA,NA,"Large",2013,"E01013090",19.84,28.68,4.01,2,43.53,"E06000011",0.42,11.02,57.97,4.59,4.98,1.36,0.62,0.59,0.58,0.58,0.58,2,1.37,6.4,2021,11,67,53,6,3,5,NA,"Con",34,79.1044776119403,8.95522388059701,4.47761194029851,7.46268656716418,NA,1414,43.9,45,1176,429,36,368,35.9,587,505,86,0
"L_0013",532606,307038,"Nutsgrove Wind Farm",7,2,14.4,"Refused/Abandoned","A0086","01/04/2016","Cambridgeshire","Eastern","England","07/07/2006",NA,NA,"Large",2006,"E01015618",29.77,32.31,7.5,1.35,52.21,"E06000031",0.08,22.57,90.01,20.6,1.9,2.81,10.24,5.92,6.71,5.91,5.91,0,3.22,6.2,525,11,57,34,4,5,14,NA,"Con",29,59.6491228070175,7.01754385964912,8.7719298245614,24.5614035087719,NA,1084,42.1,44,879,163,19,315,13,451,307,68,0
"L_0014",126600,913600,"Eishken (Muaitheabhal) Wind Farm",33,3.6,118.8,"Refused/Abandoned","N00260W","16/12/2014","Western Isles","Scotland","Scotland","01/12/2004",NA,NA,"Large",2004,"S01002350",27.43,3.7,4.36,5.68,373.11,"S12000013",3.51,262.28,172.52,74.46,4.89,51.06,96.52,6.78,8.04,6.79,9.79,365,3.69,10.2,8032,12,31,0,4,0,24,3,"Ind",16,0,12.9032258064516,0,77.4193548387097,9.67741935483871,918,45.2,48,761,215,28,548,14.4,433,359,83,0
"L_0015",116360,906760,"North Harris Community Trust",3,0.85,2.5,"Refused/Abandoned","EN00441","06/06/2011","Western Isles","Scotland","Scotland","01/07/2006",NA,NA,"Large",2006,"S01002349",39.54,0,1.36,3.88,376.04,"S12000013",2.53,262.87,175.95,67.51,1.33,48.28,96.77,6.16,3.03,3.03,3.03,377,3.02,12.2,8032,12,31,0,4,0,24,3,"Ind",16,0,12.9032258064516,0,77.4193548387097,9.67741935483871,980,48.4,51,844,195,23,553,15.6,476,328,69,0
"L_0016",386670,398897,"City of Manchester Stadium",1,2,2,"Refused/Abandoned","EN00218","06/11/2008","Greater Manchester","North West","England","14/09/2005",NA,NA,"Large",2005,"E01033669",15.56,37.89,0.46,1.5,144.93,"E08000003",1.85,2.21,14.19,18.63,0.46,0.39,0.04,18.72,3.14,14.02,3.14,58,0,5.9,4803,5,96,0,56,39,1,NA,"Lab",49,0,58.3333333333333,40.625,1.04166666666667,NA,1397,35.4,34,1116,174,16,560,8.6,677,153,23,0
"L_0017",423215,427292,"Mars Petcare",1,2,2,"Refused/Abandoned","A0097","25/03/2015","West Yorkshire","Yorkshire and Humber","England","02/12/2009",NA,NA,"Large",2009,"E01011050",13.89,19.13,0.09,0.84,101.66,"E08000034",0.09,0.54,21.86,40.92,0.07,0.66,2.59,46.94,12.12,17.28,7.8,163,0,7.2,5303,5,69,22,22,19,6,NA,"NOC",35,31.8840579710145,31.8840579710145,27.536231884058,8.69565217391304,NA,1520,42.5,45,1256,276,22,441,21.3,620,549,89,0
"L_0018",2e+05,70000,"St. Breock Re-Power",11,0.94,10.4,"Refused/Abandoned","N00036W","06/12/2012","Cornwall","South West","England","15/06/2002",NA,NA,"Large",2002,"E01018924",13.83,3.31,1.65,3,8.63,"E06000052",0.06,94.68,47.16,8.69,2.07,3.08,4.72,95.85,0.72,37.34,0.72,77,0.02,6.8,800,2,79,9,9,36,25,NA,"NOC",40,11.3924050632911,11.3924050632911,45.5696202531646,31.6455696202532,NA,1140,43.9,46,955,261,27,302,16.9,467,323,69,0
"L_0019",189020,66439,"Denzell Downs",5,2,10,"Refused/Abandoned","A0444","17/07/2013","Cornwall","South West","England","28/02/2011",NA,NA,"Large",2011,"E01019060",2.62,3.81,2.85,2.82,9.53,"E06000052",0.3,106.14,58.23,7.71,7.55,3.27,6.71,106.96,6.98,46.95,3.17,90,0.95,7.6,827,11,123,48,0,39,36,NA,"NOC",62,39.0243902439024,0,31.7073170731707,29.2682926829268,NA,1659,47.6,50,1434,406,28,404,23,629,467,74,0
"L_0020",452877,229216,"Fewcott Wind Farm",4,2.3,9.2,"Refused/Abandoned","A0010","14/07/2015","Oxfordshire","South East","England","05/12/2008",NA,NA,"Large",2008,"E01028506",14.33,15.8,5.95,1.1,134.69,"E07000177",0.09,0.45,89.43,21.88,5.26,2.04,1.19,39.64,19.14,39.64,1.07,129,0,6.4,3101,1,50,44,2,4,0,NA,"Con",26,88,4,8,0,NA,1753,40.6,42,1416,560,40,539,40.1,721,527,73,0
"L_0021",276947,835012,"Moy Wind Farm",20,2,40,"Refused/Abandoned","A0337","27/01/2014","Highland","Scotland","Scotland","05/04/2011",NA,NA,"Large",2011,"S01003762",17.09,24.75,15.17,0.71,214.85,"S12000017",0.22,116.6,11.92,24.28,6.34,0.98,0.82,13.27,3.87,13.17,3.87,273,0.7,5.7,8018,12,80,0,7,22,34,17,"NOC",41,0,8.75,27.5,42.5,21.25,1090,40.9,43,876,299,34,700,24.1,453,294,65,0
"L_0022",393000,419300,"Crook Hill (Rochdale MBC)",7,2,14,"Refused/Abandoned","07036W5","08/10/2013","Greater Manchester","North West","England","20/03/2007",NA,NA,"Large",2007,"E01005518",18.88,21.17,2.89,3.03,125.12,"E08000005",0.95,5.42,13,33.5,1.17,1.53,1.31,39.27,1.95,1.95,1.95,379,1.42,6.8,4805,5,60,8,20,32,0,NA,"LD",31,13.3333333333333,33.3333333333333,53.3333333333333,0,NA,1425,40.4,41,1160,265,23,433,18,591,420,71,0
"L_0023",302996,349751,"Derwydd Bach Wind Farm",10,2.3,23,"Refused/Abandoned","EN00510","17/12/2015","Clwyd","Wales","Wales","20/07/2007",NA,NA,"Large",2007,"W01000202",35.17,7.26,6.53,0.72,162.18,"W06000004",0.69,41.05,12.99,9.99,4.69,3.96,10.91,17.58,7.26,8.08,1.98,344,1.25,7,7010,13,47,7,8,2,23,7,"NOC",24,14.8936170212766,17.0212765957447,4.25531914893617,48.936170212766,14.8936170212766,1686,41.2,44,1326,478,36,459,29.6,654,566,87,0
"L_0024",304304,366301,"Brenig Wind Farm",16,2.5,40,"Refused/Abandoned","A0160","31/05/2016","Denbighshire","Wales","Wales","26/04/2007",NA,NA,"Large",2007,"W01000199",30.39,6.02,0.17,0.14,145.72,"W06000004",0.84,31.59,22.71,13.23,6.21,8.53,14.77,17.4,3.12,15.63,0.79,118,0.14,5.8,7010,13,47,7,8,2,23,7,"NOC",24,14.8936170212766,17.0212765957447,4.25531914893617,48.936170212766,14.8936170212766,1690,41.7,44,1402,394,28,504,14.7,715,458,64,0
"L_0025",533065,258036,"Rockery Farm",1,2,2,"Refused/Abandoned","N00130W","29/06/2011","Cambridgeshire","Eastern","England","02/08/2002",NA,NA,"Large",2002,"E01033116",15.56,32.36,2.38,2.1,93.16,"E07000012",0,8.74,103.03,24.15,4.72,1.74,11.07,17.77,4.72,17.77,1.56,65,1.07,6.3,501,1,42,2,16,24,0,NA,"LD",22,4.76190476190476,38.0952380952381,57.1428571428571,0,NA,1686,38.1,39,1274,611,48,476,45.2,641,424,66,0
"L_0026",282500,368500,"Nant Bach Re-submission",11,2.5,27.5,"Refused/Abandoned","A0255","18/08/2015","Gwynedd","Wales","Wales","12/07/2008",NA,NA,"Large",2008,"W01000137",49.67,22.06,4.45,0.89,143.85,"W06000003",1.01,48.72,5.41,5.62,0.98,4.2,4.44,19.82,6.81,11.16,2.66,346,2.65,7.4,7001,13,59,22,7,4,14,12,"NOC",30,37.2881355932203,11.864406779661,6.77966101694915,23.728813559322,20.3389830508475,1537,44.3,47,1278,441,35,420,24.5,630,479,76,0
"L_0027",492500,274500,"Burton Wold Wind Farm Extension",7,2.3,16.1,"Refused/Abandoned","EN00492","06/12/2012","Northamptonshire","East Midlands","England","23/11/2007",NA,NA,"Large",2007,"E01027101",12.01,44.98,0.95,3.44,103.73,"E07000153",0.76,25.93,104.75,26.58,0.25,1.7,3.46,3.98,29.95,3.98,1.62,87,1.77,6.5,2704,1,36,28,6,0,2,NA,"Con",19,77.7777777777778,16.6666666666667,0,5.55555555555556,NA,2422,37.3,38,1879,434,23,783,19.3,1017,729,72,0
"L_0028",257354,236610,"Brechfa Forest East Wind Farm",12,3,36,"Refused/Abandoned","C0354","29/04/2016","Dyfed","Wales","Wales","07/01/2011",NA,NA,"Large",2011,"W01000650",44.93,41.45,7.95,1.54,87.1,"W06000010",1.06,29.4,15.36,14.16,18.14,13.32,14.5,26.56,8.7,13.96,4.58,262,1.79,6.9,7009,13,74,0,11,1,31,31,"NOC",38,0,14.8648648648649,1.35135135135135,41.8918918918919,41.8918918918919,1613,46.5,51,1389,349,25,470,18.5,716,567,79,0
"L_0029",528336,167552,"Willow Lane Wind Turbines",10,1.1,11,"Refused/Abandoned","N00311W","20/05/2014","Greater London","London","England","30/06/2004",NA,NA,"Large",2004,"E01003375",14.74,11.17,0.06,0.82,71.7,"E09000024",4.68,12.4,46.87,8.4,0.43,2.14,0.02,15.81,5.77,15.81,5.77,28,0.06,5.7,5424,8,60,25,32,0,3,NA,"Lab",31,41.6666666666667,53.3333333333333,0,5,NA,1616,40.2,40,1321,333,25,472,21.6,654,388,59,0
"L_0030",308700,534457,"Fleeter Wood Wind Farm",5,2,10,"Refused/Abandoned","EN00505","30/03/2009","Cumbria","North West","England","17/12/2007",NA,NA,"Large",2007,"E01019086",47.37,4.34,0.2,4.74,23.13,"E07000026",0.11,36.74,4.28,8.98,1.29,3.32,3.37,11.15,3.13,11.07,3.13,78,1.02,7.1,901,1,56,19,21,4,12,NA,"NOC",29,33.9285714285714,37.5,7.14285714285714,21.4285714285714,NA,1120,45.6,47,942,427,45,285,47,460,375,82,0
"L_0031",296600,191300,"Fforch Nest Wind Farm",6,2.6,16,"Refused/Abandoned","AA577","06/02/2013","Mid Glamorgan","Wales","Wales","23/08/2006",NA,NA,"Large",2006,"W01001248",25.98,33.29,2.64,1.61,42.22,"W06000016",1.6,9.44,14.26,16.64,6.76,11.09,3.29,24.81,5.64,28.91,2.03,378,1.69,8.7,7018,13,75,0,57,2,3,13,"Lab",38,0,76,2.66666666666667,4,17.3333333333333,2054,39.4,38,1667,302,18,634,13.9,864,640,74,0
"L_0032",430000,590000,"Lynemouth Windfarm",3,0.8,2.4,"Refused/Abandoned","N00361W","24/09/2010","Northumberland","North East","England","13/10/2006",NA,NA,"Large",2006,"E01027542",21.19,15.08,1.12,2.37,3.34,"E06000048",0.09,25.09,24.4,41.37,0.28,1.33,0.27,1.37,15.3,1.38,1.12,6,0.27,7.1,2800,2,67,14,35,14,4,NA,"Lab",34,20.8955223880597,52.2388059701493,20.8955223880597,5.97014925373134,NA,1811,40.8,41,1422,167,12,548,6.8,843,323,38,0
"L_0033",302500,533500,"Land at Flimby Hall Farm",3,3.16,9.5,"Refused/Abandoned","EN00491","29/06/2011","Cumbria","North West","England","05/12/2007",NA,NA,"Large",2007,"E01019099",53.13,3.87,3.25,4.38,19.34,"E07000026",0.06,42.92,10.07,12.8,1.37,0.4,0.57,13.08,3.02,13.02,2.71,27,0,7.3,901,1,56,19,21,4,12,NA,"NOC",29,33.9285714285714,37.5,7.14285714285714,21.4285714285714,NA,1707,41,42,1412,141,10,532,8.6,749,449,60,0
"L_0034",537719,184055,"Olympic Park Wind Turbine",1,2.5,2.5,"Refused/Abandoned","EN00534","07/10/2010","Greater London","London","England","31/01/2007",NA,NA,"Large",2007,"E01033578",6.04,21.96,0.77,2.11,85.62,"E09000025",2.22,7.15,65.52,19.15,2.36,0.68,0.42,4.75,4.47,4.75,3.37,11,0.21,5.9,5425,8,60,0,54,0,6,NA,"Lab",31,0,90,0,10,NA,1273,27.7,27,1086,541,50,582,32.6,603,62,10,0
"L_0035",392720,419080,"Crook Hill (Calderdale MBC)",5,3,15,"Refused/Abandoned","EN00235","09/05/2013","Greater Manchester","North West","England","20/03/2007",NA,NA,"Large",2007,"E01005518",19.09,21.23,2.84,2.95,125.46,"E08000005",0.8,5.34,13.01,33.43,1.13,1.84,1.63,38.95,2.18,2.18,2.18,366,1.55,7.8,4805,5,60,8,20,32,0,NA,"LD",31,13.3333333333333,33.3333333333333,53.3333333333333,0,NA,1425,40.4,41,1160,265,23,433,18,591,420,71,0
"L_0036",359395,492235,"Killington Wind Farm",3,3.4,10.2,"Refused/Abandoned","B0368","30/12/2014","Cumbria","North West","England","01/10/2012",NA,NA,"Large",2012,"E01019394",46.88,14.71,0.52,2.79,66.37,"E07000031",0.01,0.21,3.14,14.42,2.45,0.79,3.75,13.52,4.32,13.52,3.97,209,3.16,7.3,906,1,51,14,3,34,0,NA,"LD",26,27.4509803921569,5.88235294117647,66.6666666666667,0,NA,2313,43.8,48,1908,717,38,677,31.9,926,760,82,0
"L_0037",465238,431714,"Cleek Hall",5,2.5,15,"Refused/Abandoned","A0222","29/09/2015","North Yorkshire","Yorkshire and Humber","England","17/08/2009",NA,NA,"Large",2009,"E01027897",13.77,31.58,2.3,3.77,64.3,"E07000169",0.04,10.2,46.6,4.91,0.63,0.85,0.68,4.75,3.91,4.75,3.91,4,0.72,6.5,2907,1,41,29,9,0,3,NA,"Con",21,70.7317073170732,21.9512195121951,0,7.31707317073171,NA,2100,41.8,44,1733,511,29,621,24.6,840,722,86,0
"L_0038",273119,210852,"Mynydd Y Gwrhyd Windfarm (resubmission)",2,2.35,4.7,"Refused/Abandoned",NA,"06/10/2015","Neath Port Talbot","Wales","Wales","20/09/2007",NA,NA,"Large",2007,"W01000919",25.16,22.48,2.18,4.43,59.66,"W06000012",1.01,12.43,3.06,11.59,2.7,10.24,2.09,14.93,13.29,20.59,1.31,329,1.5,7.1,7014,13,64,0,36,2,16,10,"Lab",33,0,56.25,3.125,25,15.625,1172,41.7,43,966,205,21,362,13.3,504,381,76,0
"L_0039",535485,293292,"Greenvale AP Wind Turbine",1,2,2,"Refused/Abandoned","B0300","15/08/2012","Cambridgeshire","Eastern","England","18/07/2011",NA,NA,"Large",2011,"E01018060",33.71,39.57,5.61,2.22,60.95,"E07000010",0.22,19.41,88.52,14.13,1.48,5.31,3.8,6.85,6.86,6.86,6.86,0,2.67,6.2,503,1,40,34,0,2,4,NA,"Con",21,85,0,5,10,NA,1846,38.4,40,1494,291,19,603,14.9,753,574,76,0
"L_0041",295856,199544,"Maerdy extension",1,3,3,"Refused/Abandoned","C3001","22/05/2015","Mid Glamorgan","Wales","Wales","01/05/2014",NA,NA,"Large",2014,"W01001202",33.97,34.57,1.22,2.24,50.36,"W06000016",2.9,17.14,6.16,9.74,6.16,5.44,2.37,24.37,6.17,34.26,2.53,453,1.38,7.7,7018,13,75,1,59,1,5,9,"Lab",38,1.33333333333333,78.6666666666667,1.33333333333333,6.66666666666667,12,1780,42.2,45,1461,129,9,570,4.6,839,532,63,0
"L_0042",639100,293300,"Stockton Wind Turbine",2,0,1.5,"Refused/Abandoned","01015W4","03/08/2005","Norfolk","Eastern","England","09/03/1998",NA,NA,"Large",1998,"E01026899",13.01,9.47,4.18,3.55,15.81,"E07000149",0.21,101.37,1.43,9.66,1.23,0.21,4.47,1.42,1.42,1.42,0.91,24,0.39,6.4,2607,1,47,12,3,30,2,NA,"LD",24,25.531914893617,6.38297872340426,63.8297872340426,4.25531914893617,NA,1479,43.2,45,1195,320,27,404,20.5,602,448,74,0
"L_0043",639700,294700,"Brundish Wind Turbine",0,0,1.5,"Refused/Abandoned","01016W4","02/05/2006","Norfolk","Eastern","England","09/03/1998",NA,NA,"Large",1998,"E01026899",14.24,9.96,4.59,2.42,16.21,"E07000149",0.56,102.58,2.77,8.44,0.91,0.93,4.9,2.78,2.78,2.78,2.22,36,1.06,6.5,2607,1,47,12,3,30,2,NA,"LD",24,25.531914893617,6.38297872340426,63.8297872340426,4.25531914893617,NA,1479,43.2,45,1195,320,27,404,20.5,602,448,74,0
"L_0044",254372,653147,"Moorhouse (Eaglesham)",19,2.5,47.5,"Refused/Abandoned","AA085","18/01/2013","Strathclyde","Scotland","Scotland","16/04/2010",NA,NA,"Large",2010,"S01001671",13.21,33.21,2.34,2.77,143.57,"S12000011",0.76,2.16,31.21,17.39,0.29,1.05,4.53,17.23,13.34,15.84,3.39,182,1.31,7.4,8013,12,20,7,7,1,2,3,"NOC",11,35,35,5,10,15,516,41.3,45,424,152,36,348,33.6,201,188,94,0
"L_0045",432500,537500,"Old Quarrington (A)",0,0,2,"Refused/Abandoned","N00104W","26/11/2004","Durham","North East","England","14/06/2002",NA,NA,"Large",2002,"E01020695",25.09,22.26,1.02,1.07,12.66,"E06000047",0.39,1.29,34.14,0.96,2.4,1.47,2.5,14.55,4.49,14.55,0.7,117,0.91,7.2,1300,2,61,2,53,4,2,NA,"Lab",31,3.27868852459016,86.8852459016393,6.55737704918033,3.27868852459016,NA,1782,39.4,39,1465,371,25,595,22.9,807,564,70,0
"L_0047",311500,930500,"Dunbeath",22,3,66,"Refused/Abandoned","N00364W","12/06/2013","Highland","Scotland","Scotland","12/08/2005",NA,NA,"Large",2005,"S01003969",33.29,50.83,15.92,21.09,286.38,"S12000017",0.51,207.82,94.02,17.66,3.58,3.98,16.43,3.61,2.29,3.61,1.95,189,3.39,8.8,8018,12,80,0,8,9,57,6,"Ind",41,0,10,11.25,71.25,7.5,762,50.5,53,697,143,21,464,11.6,376,261,69,0
"L_0048",290400,308000,"Nant Carfan Wind Farm",0,0,20.8,"Refused/Abandoned","04022W4","09/12/2003","Powys","Wales","Wales","20/04/1999",NA,NA,"Large",1999,"W01000452",38.02,34.92,17.16,5.23,157.48,"W06000023",1.23,73.19,4.22,5.84,26.51,4.43,5.01,22.83,5.18,5.18,2.01,436,2.77,7.1,7017,13,72,1,7,6,58,0,"Ind",37,1.38888888888889,9.72222222222222,8.33333333333333,80.5555555555556,0,1931,46,50,1614,464,29,520,21.3,825,649,79,0
"L_0049",261804,657558,"Castlemilk and Carmunnock Community Windpark Trust",1,2.5,2.5,"Refused/Abandoned","C1889","25/03/2015","Strathclyde","Scotland","Scotland","19/08/2013",NA,NA,"Large",2013,"S01005968",15.76,32.93,2.05,0.68,136.07,"S12000029",0.5,4.38,30.29,11.09,0.88,2.6,2.81,17.4,8.55,16.8,2.8,191,1.25,8.3,8027,12,67,3,34,1,2,27,"Lab",34,4.47761194029851,50.7462686567164,1.49253731343284,2.98507462686567,40.2985074626866,1209,43.5,44,974,289,30,681,32.2,364,312,86,0
"L_0050",224460,605122,"Chapelton Farm",3,0.85,2.6,"Refused/Abandoned","C2609","22/05/2014","Strathclyde","Scotland","Scotland","13/01/2014",NA,NA,"Large",2014,"S01005537",25.06,38.79,3.43,3.34,113.98,"S12000028",0.12,42.99,75.52,30.08,6.36,2.1,3.25,29.37,12.83,22.49,1.38,159,2.13,8.2,8026,12,30,10,9,0,2,9,"NOC",16,33.3333333333333,30,0,6.66666666666667,30,727,45.3,47,629,142,23,442,13.3,325,183,56,0
"L_0051",335385,705734,"Devon Wood",5,2.5,12.5,"Refused/Abandoned","AA102","07/12/2012","Fife","Scotland","Scotland","29/06/2010",NA,NA,"Large",2010,"S01002946",18.32,44.29,1.77,2.24,78.97,"S12000015",1.08,20.68,61.2,18.57,1.33,4.75,4.92,5.79,13.43,5.79,3.12,197,1.94,9.1,8016,12,78,5,24,21,5,23,"NOC",40,6.41025641025641,30.7692307692308,26.9230769230769,6.41025641025641,29.4871794871795,1089,44.2,47,918,289,31,699,23.5,427,356,83,0
"L_0052",320526,336486,"Cefn Coed",0,0,3.9,"Refused/Abandoned","N00117W","27/10/2005","Clwyd","Wales","Wales","22/05/2002",NA,NA,"Large",2002,"W01001930",29.36,2.74,5.51,0.61,177.05,"W06000006",0.09,39.42,20.36,12.53,9.31,5.51,5.78,15.67,0.46,2.74,0.46,324,0.83,6.3,7022,13,52,4,24,8,16,0,"NOC",27,7.69230769230769,46.1538461538462,15.3846153846154,30.7692307692308,0,2179,43.9,46,1809,515,28,613,19.9,907,664,73,0
"L_0053",284000,189000,"Lluest Wen Energy Centre",0,0,2.6,"Refused/Abandoned","N00119W","16/04/2005","Mid Glamorgan","Wales","Wales","28/06/2002",NA,NA,"Large",2002,"W01001019",27.32,20.51,2.04,2.25,38.68,"W06000013",0.85,5.25,19.47,7.22,1.04,11.93,2.35,13.21,5.82,27.26,3.41,253,1.52,6.5,7004,13,54,1,40,6,5,2,"Lab",28,1.85185185185185,74.0740740740741,11.1111111111111,9.25925925925926,3.7037037037037,1512,41.6,43,1225,206,17,421,13.8,621,441,71,0
"L_0054",283725,872535,"Hill of Nigg",3,2.5,7.5,"Refused/Abandoned","C2949","01/07/2015","Highland","Scotland","Scotland","13/01/2015",NA,NA,"Large",2015,"S01003934",16.28,9.35,7.04,2.65,243.51,"S12000017",1.37,151.83,41.86,22.59,12.73,6.4,5.32,3.06,3.88,3.06,0.91,155,1.44,9.7,8018,12,80,0,8,15,36,21,"NOC",41,0,10,18.75,45,26.25,1016,41.4,43,842,208,25,668,15.3,441,299,68,0
"L_0055",384710,853697,"Hillhead of Bonnykelly - resubmission",1,2.3,2.3,"Refused/Abandoned","C2260","19/03/2014","Grampian","Scotland","Scotland","24/10/2013",NA,NA,"Large",2013,"S01000522",41.5,75.89,4.05,2.17,196.61,"S12000034",0.33,149.68,57.3,27.43,8.29,3.02,30.39,20.29,4.85,11.37,4.7,188,1.31,8.8,8001,12,43,3,17,5,3,15,"NOC",22,6.97674418604651,39.5348837209302,11.6279069767442,6.97674418604651,34.8837209302326,665,42.4,45,550,130,24,432,13.9,261,231,89,0
